Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,year,day,month,snow,smoke,fog,drizzle,rain,mist,storm,h_fog,haze,week,tavg_lag_1,tavg_lag_3,tavg_lag_7,preciptotal_lag_1,preciptotal_lag_3,preciptotal_lag_7,sunrise_clean,sunset_clean,DaylightHrs,DaylightHrs_lag_1,DaylightHrs_lag_3,DaylightHrs_lag_7,relhum,relhum_lag_1,relhum_lag_3,relhum_lag_7
2,2007-05-13,69,44,57,32,46,8,0,434,1902,0.0,0.0,29.55,30.24,6.4,11,7.6,2007,13,May,0,0,0,0,0,0,0,0,0,19,56.0,55.0,70.0,0.0,0.0,0.0,1900-01-01 04:34:00,1900-01-01 19:02:00,14,14.0,14.0,14.0,38.54470776479181,41.60396786757752,48.62558270638308,52.863305538608486
1,2007-05-14,90,56,73,47,59,0,8,433,1903,0.0,0.0,29.23,29.97,16.9,21,17.3,2007,14,May,0,0,0,0,0,0,0,0,0,20,57.0,56.0,71.0,0.0,0.0,0.0,1900-01-01 04:33:00,1900-01-01 19:03:00,14,14.0,14.0,14.0,39.64464418587668,38.54470776479181,48.78424849497453,51.09753379016806
2,2007-05-14,90,54,72,45,58,0,7,433,1903,0.0,0.0,29.31,29.98,14.1,21,14.6,2007,14,May,0,0,0,0,0,0,0,0,0,20,73.0,56.0,61.0,0.0,0.0,0.0,1900-01-01 04:33:00,1900-01-01 19:03:00,14,14.0,14.0,14.0,38.013791316877246,39.64464418587668,41.60396786757752,49.56918794795837
1,2007-05-15,80,57,69,56,61,0,4,432,1904,0.0,0.38,29.13,29.84,8.1,27,12.3,2007,15,May,0,0,0,0,0,1,0,0,0,20,72.0,57.0,61.0,0.0,0.0,0.0,1900-01-01 04:32:00,1900-01-01 19:04:00,14,14.0,14.0,14.0,63.2993937678021,38.013791316877246,38.54470776479181,53.52229605687269
2,2007-05-15,82,56,69,56,61,0,4,432,1904,0.0,0.6,29.19,29.83,8.1,25,10.8,2007,15,May,0,0,0,0,1,1,0,0,0,20,69.0,73.0,55.0,0.38,0.0,0.0,1900-01-01 04:32:00,1900-01-01 19:04:00,14,14.0,14.0,14.0,63.2993937678021,63.2993937678021,39.64464418587668,48.62558270638308
1,2007-05-16,66,44,55,43,48,10,0,431,1905,0.0,0.14,29.33,30.03,7.8,36,12.2,2007,16,May,0,0,0,0,0,1,0,0,0,20,69.0,72.0,56.0,0.6,0.0,0.0,1900-01-01 04:31:00,1900-01-01 19:05:00,14,14.0,14.0,14.0,63.88294358228316,63.2993937678021,38.013791316877246,48.78424849497453
2,2007-05-16,64,45,55,42,47,10,0,431,1905,0.0,0.07,29.39,30.03,8.0,36,11.8,2007,16,May,0,0,0,0,0,1,0,0,0,20,55.0,69.0,56.0,0.14,0.38,0.0,1900-01-01 04:31:00,1900-01-01 19:05:00,14,14.0,14.0,14.0,61.47315287164067,63.88294358228316,63.2993937678021,41.60396786757752
1,2007-05-17,62,43,53,32,43,12,0,430,1906,0.0,0.0,29.55,30.27,10.5,3,11.3,2007,17,May,0,0,0,0,0,0,0,0,0,20,55.0,69.0,57.0,0.07,0.6,0.0,1900-01-01 04:30:00,1900-01-01 19:06:00,14,14.0,14.0,14.0,44.57702504314066,61.47315287164067,63.2993937678021,38.54470776479181
2,2007-05-17,61,44,53,32,43,12,0,430,1906,0.0,0.0,29.62,30.27,11.7,1,12.2,2007,17,May,0,0,0,0,0,0,0,0,0,20,53.0,55.0,73.0,0.0,0.14,0.0,1900-01-01 04:30:00,1900-01-01 19:06:00,14,14.0,14.0,14.0,44.57702504314066,44.57702504314066,63.88294358228316,39.64464418587668
1,2007-05-18,71,42,57,30,46,8,0,429,1907,0.0,0.0,29.53,30.25,5.4,25,7.5,2007,18,May,0,0,0,0,0,0,0,0,0,20,53.0,55.0,72.0,0.0,0.07,0.0,1900-01-01 04:29:00,1900-01-01 19:07:00,14,14.0,14.0,14.0,35.54200422234207,44.57702504314066,61.47315287164067,38.013791316877246
2,2007-05-18,70,43,57,31,47,8,0,429,1907,0.0,0.0,29.6,30.26,3.4,22,5.5,2007,18,May,0,0,0,0,0,0,0,0,0,20,57.0,53.0,69.0,0.0,0.0,0.38,1900-01-01 04:29:00,1900-01-01 19:07:00,14,14.0,14.0,14.0,37.01643531119182,35.54200422234207,44.57702504314066,63.2993937678021
1,2007-05-19,80,56,68,39,53,0,3,428,1908,0.0,0.0,29.34,30.08,11.1,24,11.4,2007,19,May,0,0,0,0,0,0,0,0,0,20,57.0,53.0,69.0,0.0,0.0,0.6,1900-01-01 04:28:00,1900-01-01 19:08:00,14,14.0,14.0,14.0,34.56657367911536,37.01643531119182,44.57702504314066,63.2993937678021
2,2007-05-19,80,56,68,37,53,0,3,428,1908,0.0,0.0,29.41,30.08,11.1,23,11.4,2007,19,May,0,0,0,0,0,0,0,0,0,20,68.0,57.0,55.0,0.0,0.0,0.14,1900-01-01 04:28:00,1900-01-01 19:08:00,14,14.0,14.0,14.0,31.956625602199296,34.56657367911536,35.54200422234207,63.88294358228316
1,2007-05-20,69,43,56,40,44,9,0,427,1909,0.0,0.07,29.38,30.11,10.4,4,10.7,2007,20,May,0,0,0,0,0,0,1,0,0,20,68.0,57.0,55.0,0.0,0.0,0.07,1900-01-01 04:27:00,1900-01-01 19:09:00,14,14.0,14.0,14.0,54.86626654204934,31.956625602199296,37.01643531119182,61.47315287164067
2,2007-05-20,69,44,57,41,45,8,0,427,1909,0.0,0.11,29.44,30.11,8.6,3,9.7,2007,20,May,0,0,0,0,1,0,0,0,0,20,56.0,68.0,53.0,0.07,0.0,0.0,1900-01-01 04:27:00,1900-01-01 19:09:00,14,14.0,14.0,14.0,55.01441512621671,54.86626654204934,34.56657367911536,44.57702504314066
1,2007-05-21,80,44,62,50,56,3,0,426,1910,0.0,0.0,29.33,30.06,6.3,11,8.2,2007,21,May,0,0,0,0,0,0,0,0,0,21,57.0,68.0,53.0,0.11,0.0,0.0,1900-01-01 04:26:00,1900-01-01 19:10:00,14,14.0,14.0,14.0,64.7692752654581,55.01441512621671,31.956625602199296,44.57702504314066
2,2007-05-21,79,46,63,50,57,2,0,426,1910,0.0,0.0,29.39,30.05,6.3,10,7.8,2007,21,May,0,0,0,0,0,0,0,0,0,21,62.0,56.0,57.0,0.0,0.07,0.0,1900-01-01 04:26:00,1900-01-01 19:10:00,14,14.0,14.0,14.0,62.53096543545311,64.7692752654581,54.86626654204934,35.54200422234207
1,2007-05-22,87,55,71,46,58,0,6,425,1911,0.0,0.0,29.34,30.06,10.0,18,10.2,2007,22,May,0,0,0,0,0,0,0,0,0,21,63.0,57.0,57.0,0.0,0.11,0.0,1900-01-01 04:25:00,1900-01-01 19:11:00,14,14.0,14.0,14.0,40.841875361121296,62.53096543545311,55.01441512621671,37.01643531119182
2,2007-05-22,87,60,74,44,58,0,9,425,1911,0.0,0.0,29.41,30.05,10.1,16,10.6,2007,22,May,0,0,0,0,0,0,0,0,0,21,71.0,62.0,68.0,0.0,0.0,0.0,1900-01-01 04:25:00,1900-01-01 19:11:00,14,14.0,14.0,14.0,34.21354650795983,40.841875361121296,64.7692752654581,34.56657367911536
1,2007-05-23,89,60,75,49,61,0,10,425,1912,0.0,0.0,29.39,30.1,11.4,19,11.8,2007,23,May,0,0,0,0,0,0,0,0,0,21,74.0,63.0,68.0,0.0,0.0,0.0,1900-01-01 04:25:00,1900-01-01 19:12:00,14,14.0,14.0,14.0,39.96594275473037,34.21354650795983,62.53096543545311,31.956625602199296
2,2007-05-23,89,66,78,48,61,0,13,425,1912,0.0,0.0,29.47,30.1,10.9,18,11.2,2007,23,May,0,0,0,0,0,0,0,0,0,21,75.0,71.0,56.0,0.0,0.0,0.07,1900-01-01 04:25:00,1900-01-01 19:12:00,14,14.0,14.0,14.0,34.857190225041066,39.96594275473037,40.841875361121296,54.86626654204934
1,2007-05-24,88,63,76,54,63,0,11,424,1913,0.0,0.02,29.41,30.11,14.9,21,17.3,2007,24,May,0,0,0,0,0,0,0,0,1,21,78.0,74.0,57.0,0.0,0.0,0.11,1900-01-01 04:24:00,1900-01-01 19:13:00,14,14.0,14.0,14.0,46.49655714540065,34.857190225041066,34.21354650795983,55.01441512621671
2,2007-05-24,88,66,77,53,63,0,12,424,1913,0.0,0.001,29.47,30.1,13.8,20,15.2,2007,24,May,0,0,0,0,0,0,0,0,1,21,76.0,75.0,62.0,0.02,0.0,0.0,1900-01-01 04:24:00,1900-01-01 19:13:00,14,14.0,14.0,14.0,43.365764564711476,46.49655714540065,39.96594275473037,64.7692752654581
1,2007-05-25,70,56,63,44,53,2,0,423,1914,0.0,0.001,29.51,30.24,4.9,5,8.8,2007,25,May,0,0,0,0,0,0,0,0,0,21,77.0,78.0,63.0,0.001,0.0,0.0,1900-01-01 04:23:00,1900-01-01 19:14:00,14,14.0,14.0,14.0,49.879267159266256,43.365764564711476,34.857190225041066,62.53096543545311
2,2007-05-25,66,57,62,46,53,3,0,423,1914,0.0,0.09,29.57,30.23,4.5,5,8.2,2007,25,May,0,0,0,0,0,1,0,0,0,21,63.0,76.0,71.0,0.001,0.02,0.0,1900-01-01 04:23:00,1900-01-01 19:14:00,14,14.0,14.0,14.0,55.74619618588071,49.879267159266256,46.49655714540065,40.841875361121296
1,2007-05-26,65,49,57,55,56,8,0,422,1915,0.0,1.01,29.36,30.11,2.8,17,7.2,2007,26,May,0,0,0,0,1,1,0,0,1,21,62.0,77.0,74.0,0.09,0.001,0.0,1900-01-01 04:22:00,1900-01-01 19:15:00,14,14.0,14.0,14.0,93.01797816185216,55.74619618588071,43.365764564711476,34.21354650795983
2,2007-05-26,70,50,60,55,57,5,0,422,1915,0.0,0.28,29.42,30.1,2.5,15,7.8,2007,26,May,0,0,0,0,1,1,0,0,0,21,57.0,63.0,75.0,1.01,0.001,0.0,1900-01-01 04:22:00,1900-01-01 19:15:00,14,14.0,14.0,14.0,83.5476789626509,93.01797816185216,49.879267159266256,39.96594275473037
1,2007-05-27,75,57,66,47,56,0,1,422,1916,0.0,0.04,29.34,30.06,8.9,26,9.5,2007,27,May,0,0,0,0,0,1,0,0,0,21,60.0,62.0,78.0,0.28,0.09,0.0,1900-01-01 04:22:00,1900-01-01 19:16:00,14,14.0,14.0,14.0,50.340237424792925,83.5476789626509,55.74619618588071,34.857190225041066
2,2007-05-27,75,59,67,49,57,0,2,422,1916,0.0,0.08,29.41,30.05,8.2,24,9.2,2007,27,May,0,0,0,0,0,1,0,0,0,21,66.0,57.0,76.0,0.04,1.01,0.02,1900-01-01 04:22:00,1900-01-01 19:16:00,14,14.0,14.0,14.0,52.41805396233515,50.340237424792925,93.01797816185216,46.49655714540065
1,2007-05-28,79,50,65,47,56,0,0,421,1916,0.0,0.001,29.43,30.15,4.8,10,5.3,2007,28,May,0,0,0,0,0,0,0,0,0,22,67.0,60.0,77.0,0.08,0.28,0.001,1900-01-01 04:21:00,1900-01-01 19:16:00,14,14.0,14.0,14.0,52.11841157750202,52.41805396233515,83.5476789626509,43.365764564711476
2,2007-05-28,76,54,65,49,57,0,0,421,1916,0.0,0.0,29.49,30.14,4.7,8,5.2,2007,28,May,0,0,0,0,0,0,0,0,0,22,65.0,66.0,63.0,0.001,0.04,0.001,1900-01-01 04:21:00,1900-01-01 19:16:00,14,14.0,14.0,14.0,56.17816824881756,52.11841157750202,50.340237424792925,49.879267159266256
1,2007-05-29,88,60,74,58,65,0,9,421,1917,0.0,0.0,29.39,30.11,5.8,18,6.5,2007,29,May,0,0,0,0,0,1,0,0,1,22,65.0,67.0,62.0,0.0,0.08,0.09,1900-01-01 04:21:00,1900-01-01 19:17:00,14,14.0,14.0,14.0,57.44277945865901,56.17816824881756,52.41805396233515,55.74619618588071
2,2007-05-29,88,65,77,59,66,0,12,421,1917,0.0,0.0,29.44,30.09,5.8,16,7.4,2007,29,May,0,0,0,0,0,1,0,0,1,22,74.0,65.0,57.0,0.0,0.001,1.01,1900-01-01 04:21:00,1900-01-01 19:17:00,14,14.0,14.0,14.0,53.88278271337782,57.44277945865901,52.11841157750202,93.01797816185216
1,2007-05-30,87,66,77,58,65,0,12,420,1918,0.0,0.0,29.31,30.04,10.3,19,10.6,2007,30,May,0,0,0,0,0,0,0,0,1,22,77.0,65.0,60.0,0.0,0.0,0.28,1900-01-01 04:20:00,1900-01-01 19:18:00,14,14.0,14.0,14.0,51.98834569717805,53.88278271337782,56.17816824881756,83.5476789626509
2,2007-05-30,89,70,80,57,66,0,15,420,1918,0.0,0.0,29.38,30.03,9.7,17,10.1,2007,30,May,0,0,0,0,0,0,0,0,1,22,77.0,74.0,66.0,0.0,0.0,0.04,1900-01-01 04:20:00,1900-01-01 19:18:00,14,14.0,14.0,14.0,45.447522603132505,51.98834569717805,57.44277945865901,50.340237424792925
1,2007-05-31,78,65,72,61,65,0,7,420,1919,0.0,0.01,29.28,30.0,9.3,19,9.9,2007,31,May,0,0,0,0,0,0,0,0,1,22,80.0,77.0,67.0,0.0,0.0,0.08,1900-01-01 04:20:00,1900-01-01 19:19:00,14,14.0,14.0,14.0,68.3688639794826,45.447522603132505,53.88278271337782,52.41805396233515
2,2007-05-31,80,68,74,61,66,0,9,420,1919,0.0,0.53,29.34,29.99,8.9,18,9.2,2007,31,May,0,0,0,0,0,1,0,0,0,22,72.0,77.0,65.0,0.01,0.0,0.001,1900-01-01 04:20:00,1900-01-01 19:19:00,14,14.0,14.0,14.0,63.9239140107229,68.3688639794826,51.98834569717805,52.11841157750202
1,2007-06-01,85,62,74,63,66,0,9,419,1920,0.0,0.19,29.19,29.91,4.2,17,6.4,2007,1,Jun,0,0,0,0,1,1,0,0,1,22,74.0,80.0,65.0,0.53,0.0,0.0,1900-01-01 04:19:00,1900-01-01 19:20:00,15,14.0,14.0,14.0,68.59272089687039,63.9239140107229,45.447522603132505,56.17816824881756
2,2007-06-01,86,67,77,63,67,0,12,419,1920,0.0,0.21,29.25,29.9,4.7,16,5.8,2007,1,Jun,0,0,0,0,1,1,0,0,1,22,74.0,72.0,74.0,0.19,0.01,0.0,1900-01-01 04:19:00,1900-01-01 19:20:00,15,15.0,14.0,14.0,62.07955325112666,68.59272089687039,68.3688639794826,57.44277945865901
1,2007-06-02,81,65,73,63,67,0,8,419,1920,0.0,0.04,29.03,29.77,6.5,22,7.4,2007,2,Jun,0,0,0,0,0,1,0,0,0,22,77.0,74.0,77.0,0.21,0.53,0.0,1900-01-01 04:19:00,1900-01-01 19:20:00,15,15.0,14.0,14.0,70.93235828358331,62.07955325112666,63.9239140107229,53.88278271337782
2,2007-06-02,81,68,75,62,67,0,10,419,1920,0.0,0.001,29.1,29.76,7.5,21,8.2,2007,2,Jun,0,0,0,0,0,1,0,0,0,22,73.0,74.0,77.0,0.04,0.19,0.0,1900-01-01 04:19:00,1900-01-01 19:20:00,15,15.0,15.0,14.0,64.04712355744519,70.93235828358331,68.59272089687039,51.98834569717805
1,2007-06-03,78,62,70,60,63,0,5,418,1921,0.0,0.01,28.82,29.56,5.2,25,6.7,2007,3,Jun,0,0,0,0,1,1,0,0,1,22,75.0,77.0,80.0,0.001,0.21,0.0,1900-01-01 04:18:00,1900-01-01 19:21:00,15,15.0,15.0,14.0,70.61483878390642,64.04712355744519,62.07955325112666,45.447522603132505
2,2007-06-03,77,64,71,60,64,0,6,418,1921,0.0,0.32,28.87,29.54,4.9,24,7.2,2007,3,Jun,0,0,0,0,0,1,1,0,1,22,70.0,73.0,72.0,0.01,0.04,0.01,1900-01-01 04:18:00,1900-01-01 19:21:00,15,15.0,15.0,14.0,68.25611970505065,70.61483878390642,70.93235828358331,68.3688639794826
1,2007-06-04,71,58,65,58,60,0,0,418,1922,0.0,0.39,28.82,29.52,7.8,31,9.7,2007,4,Jun,0,0,0,0,1,1,0,0,0,23,71.0,75.0,74.0,0.32,0.001,0.53,1900-01-01 04:18:00,1900-01-01 19:22:00,15,15.0,15.0,14.0,78.09234442448582,68.25611970505065,64.04712355744519,63.9239140107229
2,2007-06-04,72,56,64,57,60,1,0,418,1922,0.0,0.31,28.88,29.51,7.9,30,10.1,2007,4,Jun,0,0,0,0,0,1,0,0,0,23,65.0,70.0,74.0,0.39,0.01,0.19,1900-01-01 04:18:00,1900-01-01 19:22:00,15,15.0,15.0,15.0,78.00766416557157,78.09234442448582,70.61483878390642,68.59272089687039
1,2007-06-05,64,47,56,48,51,9,0,417,1923,0.0,0.42,29.1,29.79,5.2,5,7.6,2007,5,Jun,0,0,0,0,0,1,0,0,0,23,64.0,71.0,77.0,0.31,0.32,0.21,1900-01-01 04:17:00,1900-01-01 19:23:00,15,15.0,15.0,15.0,74.47354810257994,78.00766416557157,68.25611970505065,62.07955325112666
2,2007-06-05,63,51,57,47,52,8,0,417,1923,0.0,0.27,29.16,29.78,6.2,3,8.1,2007,5,Jun,0,0,0,0,0,1,0,0,0,23,56.0,65.0,73.0,0.42,0.39,0.04,1900-01-01 04:17:00,1900-01-01 19:23:00,15,15.0,15.0,15.0,69.18236056881791,74.47354810257994,78.09234442448582,70.93235828358331
1,2007-06-06,71,44,58,48,55,7,0,417,1923,0.0,0.01,29.07,29.81,10.8,17,11.4,2007,6,Jun,0,0,0,0,0,0,0,0,0,23,57.0,64.0,75.0,0.27,0.31,0.001,1900-01-01 04:17:00,1900-01-01 19:23:00,15,15.0,15.0,15.0,69.2959109772461,69.18236056881791,78.00766416557157,64.04712355744519
2,2007-06-06,73,48,61,47,55,4,0,417,1923,0.0,0.001,29.13,29.82,9.6,15,10.6,2007,6,Jun,0,0,0,0,0,0,0,0,0,23,58.0,56.0,70.0,0.01,0.42,0.01,1900-01-01 04:17:00,1900-01-01 19:23:00,15,15.0,15.0,15.0,59.9728651332341,69.2959109772461,74.47354810257994,70.61483878390642
1,2007-06-07,91,71,81,62,69,0,16,417,1924,0.0,0.0,28.84,29.55,22.7,20,23.1,2007,7,Jun,0,0,0,0,0,0,0,0,0,23,61.0,57.0,71.0,0.001,0.27,0.32,1900-01-01 04:17:00,1900-01-01 19:24:00,15,15.0,15.0,15.0,52.57147318856834,59.9728651332341,69.18236056881791,68.25611970505065
2,2007-06-07,92,71,82,61,68,0,17,417,1924,0.0,0.0,28.91,29.55,20.3,19,20.7,2007,7,Jun,0,0,0,0,0,0,0,0,0,23,81.0,58.0,65.0,0.0,0.01,0.39,1900-01-01 04:17:00,1900-01-01 19:24:00,15,15.0,15.0,15.0,49.1277812668861,52.57147318856834,69.2959109772461,78.09234442448582
